牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
一位 妈妈 跪地 求 家人 原谅 家人 拒绝 民事 和解 书上 签字 杨女士 怀着 7个月 身孕 婆婆 走出 单元 门口下 台阶 孩子 推倒 杨女士 滚 台阶 感觉 肚子 疼 婆婆 走上 前去 抓住 孩子 正 询问 孩子 家长 孩子 妈妈 孩子 婆婆 抓住 抢 孩子 不分 青红皂白 婆婆 推开 婆婆 家长 孩子 妈妈 情况 谁知道 孩子 妈妈 倒地 杨女士 脸色 变 ：“ 家 孩子 弄 说完 拉 孩子 跑 。婆婆 想 追上去 想起 倒地 杨女士， 只好 守 杨女士， 急救 电话 报警 电话 儿子 打电话 赶紧 回来 多久 民警 找到 涉 事 孩子 孩子 妈妈 妈妈 抵赖 调取 监控 情况 孩子 妈妈 哑口无言 赔偿 100000元 杨女士 送到 医院 胎盘 出血 先兆性流产， 危险 短短 一段时间 急救 费用 花 几万块 救治 保住 胎儿 杨女士 大出血 失 血性 休克 重度感染， 情况 危急 杨女士 一家 得知 孩子 读 初三 年满 14周岁 做 伤情 鉴定 负 刑事责任 。推 孩子 妈妈 情况 提出 赔偿 500000元 希望 解， 找到 家门口 跪地 求 杨女士 家人 原谅 还在 孩子 解释 ：“ 孩子 小， 不懂 事 一点点 坏 恶人 高中 能不能 原谅 杨女士 家人 想要 钱， 想 杨女士 肚里 胎儿 说法 ：“ 孩子 送 对不起 肚里 宝宝 谁知道 还会 祸害 其他人 ######七个月 	 监控 话 想 抵赖 	抓住 认错 下跪 原谅 ######rumor
一位 妈妈 跪地 求 家人 原谅 家人 拒绝 民事 和解 书上 签字 杨女士 怀着 7个月 身孕 婆婆 走出 单元 门口下 台阶 孩子 推倒 杨女士 滚 台阶 感觉 肚子 疼 婆婆 走上 前去 抓住 孩子 正 询问 孩子 家长 孩子 妈妈 孩子 婆婆 抓住 抢 孩子 不分 青红皂白 婆婆 推开 婆婆 家长 孩子 妈妈 情况 谁知道 孩子 妈妈 倒地 杨女士 脸色 变 ：“ 家 孩子 弄 说完 拉 孩子 跑 。婆婆 想 追上去 想起 倒地 杨女士， 只好 守 杨女士， 急救 电话 报警 电话 儿子 打电话 赶紧 回来 多久 民警 找到 涉 事 孩子 孩子 妈妈 妈妈 抵赖 调取 监控 情况 孩子 妈妈 哑口无言 赔偿 100000元 杨女士 送到 医院 胎盘 出血 先兆性流产， 危险 短短 一段时间 急救 费用 花 几万块 救治 保住 胎儿 杨女士 大出血 失 血性 休克 重度感染， 情况 危急 杨女士 一家 得知 孩子 读 初三 年满 14周岁 做 伤情 鉴定 负 刑事责任 。推 孩子 妈妈 情况 提出 赔偿 500000元 希望 解， 找到 家门口 跪地 求 杨女士 家人 原谅 还在 孩子 解释 ：“ 孩子 小， 不懂 事 一点点 坏 恶人 高中 能不能 原谅 杨女士 家人 想要 钱， 想 杨女士 肚里 胎儿 说法 ：“ 孩子 送 对不起 肚里 宝宝 谁知道 还会 祸害 其他人 故事 ######严惩 慈母 败儿 	故事 编 	 极少 受害者 原谅 犯罪人  禁止原谅  邪恶 才会 想着原谅  ######rumor
一位 妈妈 跪地 求 家人 原谅 家人 拒绝 民事 和解 书上 签字 杨女士 怀着 7个月 身孕 婆婆 走出 单元 门口下 台阶 孩子 推倒 杨女士 滚 台阶 感觉 肚子 疼 婆婆 走上 前去 抓住 孩子 正 询问 孩子 家长 孩子 妈妈 孩子 婆婆 抓住 抢 孩子 不分 青红皂白 婆婆 推开 婆婆 家长 孩子 妈妈 情况 谁知道 孩子 妈妈 倒地 杨女士 脸色 变 ：“ 家 孩子 弄 说完 拉 孩子 跑 。婆婆 想 追上去 想起 倒地 杨女士， 只好 守 杨女士， 急救 电话 报警 电话 儿子 打电话 赶紧 回来 多久 民警 找到 涉 事 孩子 孩子 妈妈 妈妈 抵赖 调取 监控 情况 孩子 妈妈 哑口无言 赔偿 100000元 杨女士 送到 医院 胎盘 出血 先兆性流产， 危险 短短 一段时间 急救 费用 花 几万块 救治 保住 胎儿 杨女士 大出血 失 血性 休克 重度感染， 情况 危急 杨女士 一家 得知 孩子 读 初三 年满 14周岁 做 伤情 鉴定 负 刑事责任 。推 孩子 妈妈 情况 提出 赔偿 500000元 希望 解， 找到 家门口 跪地 求 杨女士 家人 原谅 还在 孩子 解释 ：“ 孩子 小， 不懂 事 一点点 坏 恶人 高中 能不能 原谅 杨女士 家人 想要 钱， 想 杨女士 肚里 胎儿 说法 ：“ 孩子 送 对不起 肚里 宝宝 谁知道 还会 祸害 其他人 ######刑事 刑事 评论 刑事会 毁 孩子 笑话 孩子 一条命 命 	差点 一尸 两 命 孕妇 赶紧 摸摸 肚子 里 宝宝 家 孩子 小， 肚子 里 未 出生 十几岁 不懂 事故 意推 父母 责任 很大 不懂 教 生 害 其他人 其他人 家庭 宝宝 一家人 期待 	开局 一张 图 故事 全 编 评论 配图 ######rumor
一位 妈妈 跪地 求 家人 原谅 家人 拒绝 民事 和解 书上 签字 杨女士 怀着 7个月 身孕 婆婆 走出 单元 门口下 台阶 孩子 推倒 杨女士 滚 台阶 感觉 肚子 疼 婆婆 走上 前去 抓住 孩子 正 询问 孩子 家长 孩子 妈妈 孩子 婆婆 抓住 抢 孩子 不分 青红皂白 婆婆 推开 婆婆 家长 孩子 妈妈 情况 谁知道 孩子 妈妈 倒地 杨女士 脸色 变 ：“ 家 孩子 弄 说完 拉 孩子 跑 。婆婆 想 追上去 想起 倒地 杨女士， 只好 守 杨女士， 急救 电话 报警 电话 儿子 打电话 赶紧 回来 多久 民警 找到 涉 事 孩子 孩子 妈妈 妈妈 抵赖 调取 监控 情况 孩子 妈妈 哑口无言 赔偿 100000元 杨女士 送到 医院 胎盘 出血 先兆性流产， 危险 短短 一段时间 急救 费用 花 几万块 救治 保住 胎儿 杨女士 大出血 失 血性 休克 重度感染， 情况 危急 杨女士 一家 得知 孩子 读 初三 年满 14周岁 做 伤情 鉴定 负 刑事责任 。推 孩子 妈妈 情况 提出 赔偿 500000元 希望 解， 找到 家门口 跪地 求 杨女士 家人 原谅 还在 孩子 解释 ：“ 孩子 小， 不懂 事 一点点 坏 恶人 高中 能不能 原谅 杨女士 家人 想要 钱， 想 杨女士 肚里 胎儿 说法 ：“ 孩子 送 对不起 肚里 宝宝 谁知道 还会 祸害 其他人 ######七个月 	 监控 话 想 抵赖 	抓住 认错 下跪 原谅 ######rumor
网上 热传 视频 两名 外国人 殴打 一名 送 外卖 小哥 两名 蓝衣 同伴 上前 解救 有许多 围观 中国 外国人 太好 表现 热情 善良， 疫情 发现 友好 人士 越 讲 仁义 越 欺负 友好 强硬 派出所 应 主动 介入 调查 感觉 结局 咋样 外国人 中国 外卖 小哥 ######发 视频 ，想干嘛呢？ 	大清 精神 永远 群 官吏 心中 	这么说 大部分 观众 不知道 情况 ######rumor
祸不单行 美国 确诊 123万， 刚刚 凌晨 化工厂 大爆炸 ，近 万人 受灾 上帝 惩罚 美利 坚 今日 热 搜 头条  美国 国内 疫情 够 特朗普 喝 一壶 心思 惹是 生非， 甩锅 侮辱 中国 中东 波斯湾 搞 事情 威胁 伊朗 粗暴 干扰 国内 政。 做 天 美国 得克萨斯州 凌晨一点 一座 化工厂 发生 爆炸 火光 四起 火光 震动 波及 数公里 之外 居民 已知 10 玻璃 划伤 数名 工人 伤亡 隔 小时 发生 第二波 爆炸 惊恐 万分 5.4万 居民 连夜 紧急 撤退 天灾 人祸 不得而知 爆炸 释放 有毒气体， 袭击 无数 市民 上帝 提醒 美国 搞 事情 挑起 战乱 制造 事端 先 管理 千疮百孔 国家 吐槽 ######行不义必自毙 	独立 生活  没有人 为你 遮风挡 雨 	顶 ######rumor
由於 水下 蓮花 長滿 水面 美 一塌糊 塗！ ######假 海水 里 莲花？ 		肯定 假 ######rumor
孤身 驰援 武汉 南京 民营 护士 贾晓月 民营 单位 护士 当初 独自一人 援助 武汉 ，援汉 结束 掌声 优待， 返回 车票 都是 默默 买 仿佛 发生 来源 陈兆鹏 微博 江淳 编辑 贾晓月 25岁 老家 连云港 南京 一家 民营 医疗 机构 护士 疫情 时 网上 消息 心情 沉重 一名 医护人员 国家 单位 编制 一份 心。 2月18日 网上 武汉 招募 志愿者 消息 ，立马报 名， 简单 收拾 19日 前往 武汉 贾晓月 名字 援助 武汉 享受 公派 医疗 人员 待遇 一个人 坐车 一个人 默默 买 张 票 回家 欢送 一句 感谢 4月2日 武汉 病毒 搏斗 一个多月 贾晓月， 终于 使命 买 张 车票 无声无息 离开 座 英雄 城市 回到 南京 自行 隔离 14天 归于 平静 仿佛 发生 武汉 朋友 ：“ 湖北 对不起 贾晓月 做 这么多 做 好好 一句 谢谢 再见 奋战 一线 医护人员 都是 心中 英雄 体制 体制 外 尊重 礼遇 做 微乎 微， 只能 事迹 发 。愿 一线 医护人员 平安喜乐。孤身 驰援 武汉 南京 民营 护士 贾晓月 关注 新 冠肺炎## 李佳琦 道歉 李佳琦 贾晓月 同行 护士 发声 ######鲜花 掌声 分 三六九等 	最美 女孩 	真美！ 央视 ######rumor
民营 单位 护士 当初 独自一人 援助 武汉 ，援汉 结束 掌声 优待， 返回 车票 都是 默默 买 仿佛 发生 体制 内外 天壤之别！ ######回复 躲猫猫 中国 	机构 招募 志愿者 	体制 才是 自己人 ######rumor
民营 单位 护士 当初 独自一人 援助 武汉 ，援汉 结束 掌声 优待， 返回 车票 都是 默默 购买 仿佛 发生 贾晓月 25岁 老家 连云港 南京 一家 民营 医疗 机构 护士 疫情 时 网上 消息 心情 沉重 一名 医护人员 国家 单位 编制 一份 心  2月18日 网上 武汉 招募 自愿者 消息 ，立马报 名， 简单 收拾 19日 前往 武汉 贾晓月 名义 援助 武汉 享受 公派 医疗 人员 待遇 一个人 坐车 一个人 默默 买 张 票 回家 欢送 连句 感谢 话 4月2日 武汉 病魔 搏斗 一个多月 贾晓月， 终于 使命 买 张 车票 无声无息 离开 座 英雄 城市 回到 南京 自行 隔离 14天 归于 平静 仿佛 发生 武汉 朋友 ：“ 湖北 对不起 贾晓月 做 那么多 做 好好 一句 谢谢 再见 奋战 一线 医护人员 都是 心中 英雄 体制 体制 外 尊重 礼遇 做 微乎 微， 只能 再一次 新浪微博 陈兆鹏 发 确实 感人 才是 平凡 英雄 记住 以示 英雄 尊重 ######回复 躲进 小楼 成 一统 风格 篇 文章 挑拨离间 宣传 事实 造谣 	回复 斯坦福桥 往事 件 事情 矛盾 身边 朋友 值得 尊重 值得 传播 	回复 佩服 贾女士 侠义 精神 反感 刷屏自媒体 文案 蓄意 制造 公立 民营 政府 民众 之间 矛盾 矛盾 本来 事实 化解 矛盾 火上浇油 ######rumor
民营 单位 护士 当初 独自一人 援助 武汉 ，援汉 结束 掌声 优待， 返回 车票 都是 默默 买 仿佛 发生 贾晓月 25岁 老家 连云港 南京 一家 民营 医疗 机构 护士 疫情 时 网上 消息 心情 沉重 一名 医护人员 国家 单位 编制 一份 心。 2月18日 网上 武汉 招募 志愿者 消息 ，立马报 名， 简单 收拾 19日 前往 武汉 贾晓月 名字 援助 武汉 享受 公派 医疗 人员 待遇 一个人 坐车 一个人 默默 买 张 票 回家 欢送 一句 感谢 4月2日 武汉 病毒 搏斗 一个多月 贾晓月， 终于 使命 买 张 车票 无声无息 离开 座 英雄 城市 回到 南京 自行 隔离 14天 归于 平静 仿佛 发生 武汉 朋友 ：“ 湖北 对不起 贾晓月 做 这么多 做 好好 一句 谢谢 再见 奋战 一线 医护人员 都是 心中 英雄 体制 体制 外 尊重 礼遇 做 微乎 微， 只能 事迹 发 。愿 一线 医护人员 平安喜乐 ######武汉 掌声 鲜花 优待， 这一个月 旅程 终身 难忘 经历 超级 厉害 竖 大拇指 	围观 朋友 行 大运 	体制 挨 世界 骂 体制 凡事 分 内外 形式主义 招人 骂 弊端 反思 修正 抗疫 志愿者 英雄心 凉 ######rumor
民营 单位 护士 当初 独自一人 援助 武汉 ，援汉 结束 掌声 优待， 返回 车票 都是 默默 买 仿佛 发生 贾晓月 25岁 老家 连云港 南京 一家 民营 医疗 机构 护士 疫情 时 网上 消息 心情 沉重 一名 医护人员 国家 单位 编制 一份 心。 2月18日 网上 武汉 招募 志愿者 消息 ，立马报 名， 简单 收拾 19日 前往 武汉 贾晓月 名字 援助 武汉 享受 公派 医疗 人员 待遇 一个人 坐车 一个人 默默 买 张 票 回家 欢送 一句 感谢 4月2日 武汉 病毒 搏斗 一个多月 贾晓月， 终于 使命 买 张 车票 无声无息 离开 座 英雄 城市 回到 南京 自行 隔离 14天 归于 平静 仿佛 发生 ######给予 应有 礼遇 想 孤胆 英雄 	值得 赞扬 民营 单位 无关 钦佩 	身藏 功 名， 贾晓月 医护 志愿者 公派 区别 ######rumor
民营 单位 护士 当初 独自一人 援助 武汉 ，援汉 结束 掌声 优待， 返回 车票 都是 默默 买 仿佛 发生 贾晓月 25岁 老家 连云港 南京 一家 民营 医疗 机构 护士 疫情 时 网上 消息 心情 沉重 一名 医护人员 国家 单位 编制 一份 心。 2月18日 网上 武汉 招募 志愿者 消息 ，立马报 名， 简单 收拾 19日 前往 武汉 贾晓月 名字 援助 武汉 享受 公派 医疗 人员 待遇 一个人 坐车 一个人 默默 买 张 票 回家 欢送 一句 感谢 4月2日 武汉 病毒 搏斗 一个多月 贾晓月， 终于 使命 买 张 车票 无声无息 离开 座 英雄 城市 回到 南京 自行 隔离 14天 归于 平静 仿佛 发生 武汉 朋友 ：“ 湖北 对不起 贾晓月 做 这么多 做 好好 一句 谢谢 再见 奋战 一线 医护人员 都是 心中 英雄 体制 体制 外 尊重 礼遇 做 微乎 微， 只能 事迹 发 。愿 一线 医护人员 平安喜乐 ######无名英雄 肯定 	民营医院 老板 国家 民营医院 规模 干 人事 只顾 挣钱 一到 危难 抵 事， 护士 医院 好歹 鲜花 掌声 	感谢 好人 平安 ######rumor
柳州 奖励 援 鄂 抗疫 队员 每人 一辆 汽车 赠 奖 车 英雄 字样 开 停车 不收费 正能量 猛哥 518 微博 视频 ######回复 京东 财哥 说得好 	奖励 汽车 一点儿 眼红 命 换来 英雄 	######rumor
哈尔滨 二次 封城 ！ 新乡 hscr 槐树 传人 微博 视频 ######	回复 爱吃 螃蟹 嘟 妈 表态 巨蟹座 辣辣 	回复 花升花落 表态 花 升花 落 ######rumor
广州 外籍 人士 一次性 补助 5600元 截屏 五味杂 陈。 想起 前两天 安梁 一篇 文章 写道 ：“ 4月15日 武汉 市民 领取 惠民消费券， 2000万元 相当于 人均 2元 恩惠， 侮辱 伤害 取消 外国人 补助 中国 提供 财力 证明 中国 出国 都是 自费， 提供 财力 证明 中国 成 补贴 洋 大人 ？！ 外国人 尊守 中国 法律 中国 本土 尊重 中国 留学生 一年 享受 100000元 人民币 生活 补贴 请问 制定 制度 感受 ######外国人 中国 须 提供 财力 证明 	tmd 一视同仁 中国 隔离 发 钱？ 	拿着 中国 纳税人 钱 非洲 兄弟 买 保健品 ######rumor
头 三张 图 网友 投稿 河南 郑州 地铁 公益广告 致敬 抗疫 英雄 男性 照片 女性 面孔 郑州地铁  抗疫 期间 全国 出征 女性 医护 占 90% 搜 河南 完整 数据 已知 河南 第二批 赴 鄂 支援 女性 占比 随手 搜 河南援鄂医疗队 部队 医院 出征 送行 开会 迎接 表彰 央视 省台 采访 现场 图 视频 全 女性 剩下 图片 全 网上 搜 几个 男人 拼 命 战场 保家卫国， 换 抹杀 功绩 明明 杨家 女将 故事 始终 拥有 姓名， 找 考 考 眼力 郑州地铁 官微 放 致敬 图 里 女性  ######过河 拆 桥 抹 杀 女性 功劳 不发 补助 女性 走来 	牛逼牛逼 打拳 	互联网 存 证 情况 还能 反驳 ，否则 几百年后 记录 抗击 疫情 过程 中 无数 男人 不畏 艰险， 展现 中国 男人 保家卫国 雄心壮志。屌癌 平台 碰瓷女权， 张口 女人 抗击 新冠 都是 男人 拼命 一套 抹杀 污蔑 组合拳 女人 历史 中 名。 ######rumor
一场 疫情 外国人 富 广州 ######回复 见明 春天 脚趾头 想 假  举报 	回复 人民币 微博 辟谣 	谣言 编 一地 人民币 方方 一地 手机 ######rumor
#NBA 超话 疫情 影响 球员 返国 隔离 包括 cba 名将 孙大圣 孙悦 春节 期间 孙悦 陈露 携 全家 美国 度假 美国 疫情 回国 大胆 推测 俩 拿到 绿卡 改 国籍 时间 事 ######流水 不争先 争 滔滔不绝 	占 位置 	持续 关注 ######rumor
孙悦 国 疫情 爆发 期间 ，CB 北 控 男篮 后卫 孙悦 全家 一起去 美国 美国 成 疫情 国家 航班 管控 暂时 回不来 中国 妻子 陈露 直播 中 美国 歧视 早知 今日 当初 ######辟谣 造谣 造谣 倒霉 喽， 貌似 起诉 	举报 尼玛 造谣 封号 	憨憨 嗷 ######rumor
哈尔滨 好像 封城 哈尔滨 杨锐 丰乔 微博 视频 ######回复 网名 ye 白天 18、 棉帽子 	回复 网名 ye 逻辑 ？风多大 不知道 站 站  冷 	冬天 视频 ######rumor
哈尔滨 封城！ 绥芬河 口岸 疫情 影响 进 高速路 来回 ！ 木南者 微博 视频 ######20度 天气  交警 通知 棉帽子  造谣 违法 	这天 棉帽子 	不用 谢 评论 配图 ######rumor
俄罗斯 150 万人 三个 口岸 绥，黑， 抚远 三个 口岸 中国 第一批 未来 一个星期 全 牡丹江地区 各市 县 接待 俄罗斯 回国 人员 俄罗斯 己封城 俄罗斯 治疗 患病 人员 俄罗斯 人员 回国 ######回复 嘟嘟猪G 假 俄 公民 一共 16万 	哪有 一百五十万 夸张 	真 假 ######rumor
疫情 国际 疫情 俄罗斯 确诊 超过 一万 一怒之下 驱赶 中国 人大 在那里 留学 做生意 美国 确诊 四十多万 还没有 驱赶 守法 中国 文明 野蛮 区别 打脸 ！ 布衣 记 微博 视频 ######高晓松 留 落 苏俄 华人 最惨  评论 配图 	老毛子 	驱赶 驱赶 不知道 民族 ，枪杀 中国 新 冠 肺炎 患者 ######rumor
